,Username,WineName,Vintage,Type,Dry-Sweet,Light-Bold,Soft-Acidic,Smooth-Tannic,VivinoRating,BlendedScore,Similarity,WeightRange
82,Devan,Unoaked Chardonnay,2018,White,2.0,8.0,7.0,0.0,0.809,0.774,0.738,0.5 <= Weight < 0.75
83,Devan,Chardonnay,2019,White,2.0,6.0,6.0,0.0,0.805,0.771,0.736,0.5 <= Weight < 0.75
84,Devan,Chardonnay,2018,White,2.0,6.0,6.0,0.0,0.756,0.746,0.736,0.5 <= Weight < 0.75
85,Devan,Campogrande Bianco Orvieto Classico DOC,2017,White,3.0,4.0,8.0,0.0,0.861,0.746,0.632,0.5 <= Weight < 0.75
86,Carina,Fleurie,2015,Red,2.0,1.0,10.0,3.0,0.531,0.717,0.903,>=0.9
87,Carina,Fleurie,2016,Red,2.0,1.0,10.0,3.0,0.516,0.709,0.903,>=0.9
88,Carina,Gevrey Chambertin 1er Cru Cazetiers,2015,Red,3.0,4.0,9.0,4.0,0.139,0.524,0.909,>=0.9
89,Carina,Gevrey Chambertin 1er Cru Cazetiers,2016,Red,3.0,4.0,9.0,4.0,0.13,0.52,0.909,>=0.9
90,Carina,Gevrey Chambertin 1er Cru Cazetiers,2017,Red,3.0,4.0,9.0,4.0,0.118,0.514,0.909,>=0.9
91,Carina,Campogrande Bianco Orvieto Classico DOC,2017,White,3.0,4.0,8.0,0.0,0.861,0.831,0.802,0.8 <= Weight < 0.9
92,Carina,Campogrande Bianco Orvieto Classico DOC,2018,White,3.0,4.0,8.0,0.0,0.838,0.82,0.802,0.8 <= Weight < 0.9
93,Carina,Bel Star Prosecco DOC (Sugar: 9g/L),NV,Sparkling ,8.0,3.0,7.0,0.0,0.733,0.795,0.857,0.8 <= Weight < 0.9
94,Carina,Beaujolais Villages,2016,Red,1.0,1.0,10.0,2.0,0.711,0.776,0.841,0.8 <= Weight < 0.9
95,Carina,Bel Star Cult Prosecco DOC (Sugar: 16g/L),NV,Sparkling ,8.0,3.0,8.0,0.0,0.671,0.771,0.87,0.8 <= Weight < 0.9
96,Carina,Le Poggere Est! Est! Est! di Montefiascone DOP,2017,White ,3.0,5.0,8.0,0.0,0.77,0.77,0.769,0.75 <= Weight < 0.8
97,Carina,Le Poggere Est! Est! Est! di Montefiascone DOP,2018,White ,3.0,5.0,8.0,0.0,0.77,0.77,0.769,0.75 <= Weight < 0.8
98,Carina,Albaclara Sauvignon Blanc,2017,White,2.0,4.0,8.0,0.0,0.757,0.762,0.767,0.75 <= Weight < 0.8
99,Carina,Le Poggere Vino Rosso Lazio IGP,2016,Red,2.0,5.0,5.0,4.0,0.719,0.759,0.799,0.75 <= Weight < 0.8
100,Carina,Le Poggere Vino Rosso Lazio IGP,2017,Red,2.0,5.0,5.0,4.0,0.698,0.748,0.799,0.75 <= Weight < 0.8
101,Carina,Moscata d'Asti DOCG,2018,Sparkling ,0.0,3.0,4.0,0.0,1.0,0.803,0.606,0.5 <= Weight < 0.75
102,Carina,Y Series Sauvignon Blanc,2019,White,3.0,6.0,8.0,0.0,0.765,0.75,0.734,0.5 <= Weight < 0.75
103,Carina,Cabernet Sauvignon,2017,Red,2.0,8.0,6.0,7.0,0.78,0.749,0.718,0.5 <= Weight < 0.75
104,Carina,Sauvignon Blanc,2018,White,1.0,4.0,9.0,0.0,0.745,0.737,0.729,0.5 <= Weight < 0.75
105,Carina,La Minuette Rose IGP Pays D'OC,2018,Rose,1.0,5.0,7.0,0.0,0.798,0.735,0.673,0.5 <= Weight < 0.75
106,Theta,"Puligny Montrachet 1er Cru ""Clos de la Garenne"" *Limited",2013,White,2.0,4.0,7.0,3.0,0.219,0.548,0.877,0.8 <= Weight < 0.9
107,Theta,"Puligny Montrachet 1er Cru ""Clos de la Garenne"" ",2015,White,2.0,4.0,7.0,3.0,0.204,0.541,0.877,0.8 <= Weight < 0.9
108,Theta,"Puligny Montrachet 1er Cru ""Clos de la Garenne"" *Limited",2016,White,2.0,4.0,7.0,3.0,0.204,0.541,0.877,0.8 <= Weight < 0.9
109,Theta,"Puligny Montrachet 1er Cru ""Clos de la Garenne"" ",2017,White,2.0,4.0,7.0,3.0,0.185,0.531,0.877,0.8 <= Weight < 0.9
110,Theta,Campogrande Bianco Orvieto Classico DOC,2017,White,3.0,4.0,8.0,0.0,1.0,0.85,0.699,0.5 <= Weight < 0.75
111,Theta,Campogrande Bianco Orvieto Classico DOC,2018,White,3.0,4.0,8.0,0.0,0.974,0.836,0.699,0.5 <= Weight < 0.75
112,Theta,Chardonnay,2019,White,2.0,6.0,6.0,0.0,0.935,0.793,0.652,0.5 <= Weight < 0.75
